Sub-Category,Total Sales,Mean Profit,Mean Shipping Cost
Labels,6902.0,4.956872569444444,2.7017777777777767
Fasteners,8564.0,4.745412915129152,3.2764870848708485
Envelopes,12247.0,9.398160337552737,6.20084388185654
Supplies,17564.0,4.418554940711461,7.731913043478262
Paper,18095.0,11.293346794871796,6.273490384615384
Tables,29692.0,4.825985714285712,76.92353571428568
Furnishings,32338.0,3.7024284403669703,10.400003058103973
Binders,33897.0,4.0888558583106285,4.797726158038142
Art,40881.0,7.825502891933021,7.133127853881283
Machines,43826.0,-9.283978977272735,28.275590909090912
Accessories,47340.0,25.898289666666667,18.437049999999996
Appliances,62153.0,26.170782122905027,36.790860335195504
Chairs,65853.0,14.421646250000006,31.42929583333334
Copiers,75865.0,61.42746601156068,52.282907514450876
Bookcases,80499.0,-11.097360000000002,44.21365853658537
Phones,84972.0,27.56854467353951,33.78675945017182
Storage,100386.0,9.952853051643203,16.940140845070452
